Longitude;Latitude;chlor_a
105,8958282;-4,229166667;4,351707
105,9374949;-4,229166667;4,3024654
105,9791616;-4,229166667;4,149505
106,0208282;-4,229166667;3,1898236
106,0624949;-4,229166667;2,7761567
106,1041616;-4,229166667;2,7440996
106,1458282;-4,229166667;2,6164708
106,1874949;-4,229166667;2,4995787
106,2291616;-4,229166667;2,6466417
106,2708282;-4,229166667;2,5294337
106,3124949;-4,229166667;2,4204893
106,3541616;-4,229166667;2,6213698
106,3958282;-4,229166667;2,626001
106,4374949;-4,229166667;2,3554473
106,4791616;-4,229166667;2,2623458
106,5208282;-4,229166667;2,2534146
106,5624949;-4,229166667;2,121864
106,6041616;-4,229166667;1,9166067
106,6458282;-4,229166667;1,7230222
106,6874949;-4,229166667;1,6297481
106,7291616;-4,229166667;1,784129
106,7708282;-4,229166667;1,7799431
106,8124949;-4,229166667;1,658385
106,8541616;-4,229166667;1,4362419
106,8958282;-4,229166667;1,3094081
106,9374949;-4,229166667;0,95358145
105,8541616;-4,270833333;5,145754
105,8958282;-4,270833333;4,681928
105,9374949;-4,270833333;4,411093
105,9791616;-4,270833333;3,9733903
106,0208282;-4,270833333;3,7983234
106,0624949;-4,270833333;3,4369187
106,1041616;-4,270833333;3,0430977
106,1458282;-4,270833333;2,7231898
106,1874949;-4,270833333;2,3450856
106,2291616;-4,270833333;2,6481922
106,2708282;-4,270833333;2,764256
106,3124949;-4,270833333;2,2562234
106,3541616;-4,270833333;1,9118398
106,3958282;-4,270833333;2,288991
106,4374949;-4,270833333;2,3044353
106,4791616;-4,270833333;2,2469826
106,5208282;-4,270833333;2,335654
106,5624949;-4,270833333;2,3371506
106,6041616;-4,270833333;1,86079
106,6458282;-4,270833333;1,6731324
106,6874949;-4,270833333;1,5911955
106,7291616;-4,270833333;1,5434474
106,7708282;-4,270833333;1,5957491
106,8124949;-4,270833333;1,6847849
106,8541616;-4,270833333;1,6577951
106,8958282;-4,270833333;1,5715269
106,9374949;-4,270833333;1,2183821
105,8541616;-4,3125;5,145754
105,8958282;-4,3125;5,6374364
105,9374949;-4,3125;5,2082467
105,9791616;-4,3125;4,2656636
106,0208282;-4,3125;3,7966306
106,0624949;-4,3125;3,7619913
106,1041616;-4,3125;3,356378
106,1458282;-4,3125;2,8892705
106,1874949;-4,3125;2,5421693
