Longitude;Latitude;chlor_a
105,8541616;-4,1875;6,8090105
105,8958282;-4,1875;4,705846
105,9374949;-4,1875;3,9815996
105,9791616;-4,1875;3,1889987
106,0208282;-4,1875;2,5310025
106,0624949;-4,1875;2,0782073
106,1041616;-4,1875;1,8084252
106,1458282;-4,1875;1,8651342
106,1874949;-4,1875;1,848374
106,2291616;-4,1875;1,7896464
106,2708282;-4,1875;1,0979825
106,4374949;-4,1875;0,67820466
106,4791616;-4,1875;0,627093
106,5208282;-4,1875;0,61820316
106,5624949;-4,1875;0,6164378
106,6041616;-4,1875;0,507433
106,6458282;-4,1875;0,578202
106,6874949;-4,1875;0,5538133
106,7291616;-4,1875;0,7230798
106,7708282;-4,1875;0,71188426
106,8124949;-4,1875;0,6078439
105,8541616;-4,229166667;6,8090105
105,8958282;-4,229166667;5,2062097
105,9374949;-4,229166667;4,3247538
105,9791616;-4,229166667;3,0838015
106,0208282;-4,229166667;2,2907076
106,0624949;-4,229166667;1,8558725
106,1041616;-4,229166667;1,6609523
106,1458282;-4,229166667;1,8194443
106,1874949;-4,229166667;1,5617144
106,2291616;-4,229166667;1,1642113
106,2708282;-4,229166667;1,0979826
106,4374949;-4,229166667;0,67820466
106,4791616;-4,229166667;0,6916014
106,5208282;-4,229166667;0,6203204
106,5624949;-4,229166667;0,57869434
106,6041616;-4,229166667;0,50743294
106,6458282;-4,229166667;0,578202
106,6874949;-4,229166667;0,5538132
106,7291616;-4,229166667;0,76278186
106,7708282;-4,229166667;0,7274086
106,8124949;-4,229166667;0,59850645
105,8541616;-4,270833333;5,9114404
105,8958282;-4,270833333;4,796019
105,9374949;-4,270833333;3,8195782
105,9791616;-4,270833333;2,9440684
106,0208282;-4,270833333;2,230392
106,0624949;-4,270833333;1,7532622
106,1041616;-4,270833333;1,9070683
106,1458282;-4,270833333;1,4779842
106,1874949;-4,270833333;1,4441845
106,2291616;-4,270833333;1,0789666
106,2708282;-4,270833333;0,9513962
106,3124949;-4,270833333;0,88020355
106,3541616;-4,270833333;0,90106183
106,3958282;-4,270833333;0,9046644
106,5208282;-4,270833333;0,6095118
106,5624949;-4,270833333;0,6162672
106,6041616;-4,270833333;0,6363264
106,6458282;-4,270833333;0,64298105
106,6874949;-4,270833333;0,62220347
106,7291616;-4,270833333;0,74606574
106,7708282;-4,270833333;0,66654044
106,8124949;-4,270833333;0,61260533
105,8124949;-4,3125;6,4858947
105,8541616;-4,3125;5,206503
105,8958282;-4,3125;5,038346
105,9374949;-4,3125;4,2864637
105,9791616;-4,3125;3,0899
106,0208282;-4,3125;2,2105007
106,0624949;-4,3125;1,7239724
106,1041616;-4,3125;1,5162966
106,1458282;-4,3125;1,492696
106,1874949;-4,3125;1,0267849
106,2291616;-4,3125;1,0466313
106,2708282;-4,3125;0,9384778
106,3124949;-4,3125;0,70982856
106,3541616;-4,3125;0,6631099
106,3958282;-4,3125;0,90466446
106,4791616;-4,3125;0,6267511
106,5208282;-4,3125;0,5997203
106,5624949;-4,3125;0,6182445
106,6041616;-4,3125;0,6267619
106,6458282;-4,3125;0,64298105
106,6874949;-4,3125;0,62220347
106,7291616;-4,3125;0,6255013
106,7708282;-4,3125;0,64605886
106,8124949;-4,3125;0,6311244
105,8124949;-4,354166667;6,4858947
105,8541616;-4,354166667;6,4858084
105,8958282;-4,354166667;4,503362
105,9374949;-4,354166667;4,3684974
105,9791616;-4,354166667;3,6337903
106,0208282;-4,354166667;2,7346084
106,0624949;-4,354166667;1,8572867
106,1041616;-4,354166667;1,7807335
106,1458282;-4,354166667;0,9467681
106,1874949;-4,354166667;0,948206
106,2291616;-4,354166667;0,9584119
106,2708282;-4,354166667;0,9384776
106,3124949;-4,354166667;0,7098265
106,3541616;-4,354166667;0,66307944
106,4791616;-4,354166667;0,6267511
106,5208282;-4,354166667;0,6267499
106,5624949;-4,354166667;0,61824465
106,6041616;-4,354166667;0,6267601
106,6874949;-4,354166667;0,62220347
106,7291616;-4,354166667;0,6254988
106,7708282;-4,354166667;0,6378427
106,8124949;-4,354166667;0,63470054
105,8958282;-4,395833333;5,2515354
105,9374949;-4,395833333;4,9768972
105,9791616;-4,395833333;4,185525
106,0208282;-4,395833333;2,8129034
106,0624949;-4,395833333;2,1155162
106,1041616;-4,395833333;1,0076622
106,1458282;-4,395833333;1,0076631
106,1874949;-4,395833333;1,2261709
106,2291616;-4,395833333;1,0661494
106,2708282;-4,395833333;1,0048949
106,3124949;-4,395833333;0,87733907
106,6874949;-4,395833333;0,6494621
106,7291616;-4,395833333;0,6567967
106,7708282;-4,395833333;0,72088027
106,8124949;-4,395833333;0,666516
105,8958282;-4,4375;6,090111
105,9374949;-4,4375;4,1286964
105,9791616;-4,4375;3,4216697
106,0208282;-4,4375;2,520781
106,0624949;-4,4375;1,995294
106,1041616;-4,4375;1,8969928
