Longitude;Latitude;sst
104,4791616;-4,145833333;33,91
104,5208282;-4,145833333;33,91
105,6874949;-4,145833333;32,809998
105,7291616;-4,145833333;32,809998
105,8124949;-4,145833333;31,605
105,8541616;-4,145833333;31,84
105,8958282;-4,145833333;31,664999
105,9374949;-4,145833333;31,025
105,9791616;-4,145833333;30,689999
106,0208282;-4,145833333;30,76
106,0624949;-4,145833333;30,97
106,1041616;-4,145833333;31,074999
106,1458282;-4,145833333;31,15
106,1874949;-4,145833333;31,24
106,2291616;-4,145833333;31,505
106,2708282;-4,145833333;31,609999
106,3124949;-4,145833333;31,33
106,3541616;-4,145833333;31,234999
106,3958282;-4,145833333;31,619999
106,4374949;-4,145833333;31,474998
106,4791616;-4,145833333;31,88
106,5208282;-4,145833333;31,755
106,5624949;-4,145833333;31,519999
106,6041616;-4,145833333;31,935
106,6458282;-4,145833333;30,09
106,6874949;-4,145833333;29,97
106,7291616;-4,145833333;29,894999
106,7708282;-4,145833333;30,42
106,8124949;-4,145833333;30,63
104,4791616;-4,1875;33,91
104,5208282;-4,1875;33,91
105,6874949;-4,1875;32,809998
105,7291616;-4,1875;32,809998
105,8124949;-4,1875;31,605
105,8541616;-4,1875;31,98
105,8958282;-4,1875;31,965
105,9374949;-4,1875;30,84
105,9791616;-4,1875;30,435
106,0208282;-4,1875;30,83
106,0624949;-4,1875;31,095
106,1041616;-4,1875;31,17
106,1458282;-4,1875;31,025
106,1874949;-4,1875;30,869999
106,2291616;-4,1875;31,23
106,2708282;-4,1875;31,455
106,3124949;-4,1875;31,279999
106,3541616;-4,1875;31,205
106,3958282;-4,1875;30,81
106,4374949;-4,1875;31,15
106,4791616;-4,1875;31,15
106,5208282;-4,1875;31,39
106,5624949;-4,1875;31,734999
106,6041616;-4,1875;31,929998
106,6458282;-4,1875;30,09
106,6874949;-4,1875;29,97
106,7291616;-4,1875;30,66
106,7708282;-4,1875;30,689999
106,8124949;-4,1875;30,865
104,4791616;-4,229166667;33,91
104,5208282;-4,229166667;33,91
105,8124949;-4,229166667;32,364998
105,8541616;-4,229166667;31,724998
105,8958282;-4,229166667;31,98
105,9374949;-4,229166667;31,025
105,9791616;-4,229166667;30,304998
106,0208282;-4,229166667;30,595
106,0624949;-4,229166667;30,9
106,1041616;-4,229166667;30,965
106,1458282;-4,229166667;30,789999
106,1874949;-4,229166667;30,769999
106,2291616;-4,229166667;31,14
106,2708282;-4,229166667;32,015
106,3124949;-4,229166667;32,364998
106,3541616;-4,229166667;32,375
106,3958282;-4,229166667;32,19
106,4374949;-4,229166667;32,29
106,4791616;-4,229166667;32,344997
106,5208282;-4,229166667;31,535
106,5624949;-4,229166667;31,4
106,6041616;-4,229166667;30,699999
106,6458282;-4,229166667;30,619999
106,6874949;-4,229166667;30,414999
106,7291616;-4,229166667;30,505
106,7708282;-4,229166667;30,494999
106,8124949;-4,229166667;30,599998
104,3541616;-4,270833333;34,61
104,3958282;-4,270833333;34,61
105,8124949;-4,270833333;31,869999
105,8541616;-4,270833333;32,024998
105,8958282;-4,270833333;31,804998
105,9374949;-4,270833333;31,185
105,9791616;-4,270833333;30,83
106,0208282;-4,270833333;30,74
106,0624949;-4,270833333;30,98
106,1041616;-4,270833333;31,01
106,1458282;-4,270833333;31,189999
106,1874949;-4,270833333;31,109999
106,2291616;-4,270833333;31,054998
106,2708282;-4,270833333;31,365
106,3124949;-4,270833333;31,554998
106,3541616;-4,270833333;31,679998
106,3958282;-4,270833333;31,564999
106,4374949;-4,270833333;31,73
106,4791616;-4,270833333;31,99
106,5208282;-4,270833333;32,14
106,5624949;-4,270833333;31,484999
106,6041616;-4,270833333;31,119999
106,6458282;-4,270833333;30,939999
106,6874949;-4,270833333;30,814999
106,7291616;-4,270833333;30,385
106,7708282;-4,270833333;30,554998
106,8124949;-4,270833333;30,535
104,3541616;-4,3125;34,61
104,3958282;-4,3125;34,61
105,4374949;-4,3125;33,809998
105,4791616;-4,3125;33,855
105,5208282;-4,3125;33,875
105,5624949;-4,3125;34
105,6041616;-4,3125;33,57
105,6458282;-4,3125;33,54
105,6874949;-4,3125;33,57
105,7291616;-4,3125;33,57
105,7708282;-4,3125;30,195
105,8124949;-4,3125;31,554998
