Longitude;Latitude;sst
105,2708282;-4,395833333;32,745
105,3124949;-4,395833333;32,745
105,5208282;-4,395833333;32,6
105,5624949;-4,395833333;32,6
105,8124949;-4,395833333;31,015
105,8541616;-4,395833333;30,939999
105,8958282;-4,395833333;30,75
105,9374949;-4,395833333;30,49
105,9791616;-4,395833333;30,48
106,0208282;-4,395833333;30,59
106,0624949;-4,395833333;30,529999
106,1041616;-4,395833333;30,414999
106,1458282;-4,395833333;30,32
106,1874949;-4,395833333;30,279999
106,2291616;-4,395833333;30,255
106,2708282;-4,395833333;30,09
106,3124949;-4,395833333;30,14
106,3541616;-4,395833333;30,285
106,3958282;-4,395833333;30,09
106,4374949;-4,395833333;29,99
106,4791616;-4,395833333;29,945
106,5208282;-4,395833333;29,939999
106,5624949;-4,395833333;29,705
106,6041616;-4,395833333;30,029999
106,6458282;-4,395833333;30,01
106,6874949;-4,395833333;30,064999
106,7291616;-4,395833333;30,15
106,7708282;-4,395833333;30,195
106,8124949;-4,395833333;30,15
106,8541616;-4,395833333;30,189999
106,8958282;-4,395833333;30,275
105,2708282;-4,4375;32,745
105,3124949;-4,4375;32,745
105,3541616;-4,4375;32,57
105,5208282;-4,4375;32,6
105,5624949;-4,4375;32,6
105,8124949;-4,4375;31,015
105,8541616;-4,4375;32,09
105,8958282;-4,4375;31,335
105,9374949;-4,4375;30,56
105,9791616;-4,4375;30,529999
106,0208282;-4,4375;30,465
106,0624949;-4,4375;30,38
106,1041616;-4,4375;30,414999
106,1458282;-4,4375;30,345
106,1874949;-4,4375;30,269999
106,2291616;-4,4375;30,154999
106,2708282;-4,4375;30,109999
106,3124949;-4,4375;30,234999
106,3541616;-4,4375;30,279999
106,3958282;-4,4375;30,119999
106,4374949;-4,4375;30,01
106,4791616;-4,4375;29,949999
106,5208282;-4,4375;29,855
106,5624949;-4,4375;29,779999
106,6041616;-4,4375;29,904999
106,6458282;-4,4375;30
106,6874949;-4,4375;30,144999
106,7291616;-4,4375;30,119999
106,7708282;-4,4375;30,09
106,8124949;-4,4375;30,08
106,8541616;-4,4375;30,13
106,8958282;-4,4375;30,215
105,2708282;-4,479166667;32,63
105,3124949;-4,479166667;32,62
105,3541616;-4,479166667;32,57
105,8541616;-4,479166667;32,09
105,8958282;-4,479166667;30,345
105,9374949;-4,479166667;30,304998
105,9791616;-4,479166667;30,22
106,0208282;-4,479166667;30,23
106,0624949;-4,479166667;30,314999
106,1041616;-4,479166667;30,38
106,1458282;-4,479166667;30,385
106,1874949;-4,479166667;30,355
106,2291616;-4,479166667;30,255
106,2708282;-4,479166667;30,24
106,3124949;-4,479166667;30,164999
106,3541616;-4,479166667;30,105
106,3958282;-4,479166667;30,074999
106,4374949;-4,479166667;30,015
106,4791616;-4,479166667;30,015
106,5208282;-4,479166667;30,029999
106,5624949;-4,479166667;30,06
106,6041616;-4,479166667;30,115
106,6458282;-4,479166667;30,029999
106,6874949;-4,479166667;29,939999
106,7291616;-4,479166667;29,99
106,7708282;-4,479166667;30,099998
106,8124949;-4,479166667;30,115
