Longitude;Latitude;chlor_a
105,8958282;-3,9375;6,4727697
105,9374949;-3,9375;6,294324
105,9791616;-3,9375;5,1742525
106,0208282;-3,9375;3,7054548
106,0624949;-3,9375;2,5722537
106,1041616;-3,9375;2,4918332
106,1458282;-3,9375;0,94849414
106,1874949;-3,9375;0,8336546
106,2291616;-3,9375;0,8142945
106,2708282;-3,9375;0,505714
106,3124949;-3,9375;0,5186066
106,3541616;-3,9375;0,56089985
106,3958282;-3,9375;0,63014746
106,4791616;-3,9375;0,6402611
106,5208282;-3,9375;0,63701797
106,5624949;-3,9375;0,607522
106,6041616;-3,9375;0,6127855
106,6458282;-3,9375;0,6368312
106,6874949;-3,9375;0,6202656
106,7291616;-3,9375;0,6151625
106,7708282;-3,9375;0,65325576
106,8124949;-3,9375;0,70518374
106,8541616;-3,9375;0,6007362
106,8958282;-3,9375;0,5864546
105,8958282;-3,979166667;5,6429496
105,9374949;-3,979166667;5,470448
105,9791616;-3,979166667;4,757314
106,0208282;-3,979166667;2,2190275
106,0624949;-3,979166667;2,133359
106,1041616;-3,979166667;1,9578396
106,1458282;-3,979166667;1,9491094
106,1874949;-3,979166667;1,7397454
106,2708282;-3,979166667;0,91699094
106,3124949;-3,979166667;1,1195976
106,3541616;-3,979166667;1,465629
106,3958282;-3,979166667;1,2365199
106,4374949;-3,979166667;1,5875704
106,5208282;-3,979166667;0,6048445
106,5624949;-3,979166667;0,59916264
106,6041616;-3,979166667;0,60444254
106,6458282;-3,979166667;0,6298875
106,6874949;-3,979166667;0,6164381
106,7291616;-3,979166667;0,61700916
106,7708282;-3,979166667;0,5759402
106,8124949;-3,979166667;0,583614
106,8541616;-3,979166667;0,5955707
106,8958282;-3,979166667;0,60901177
105,8541616;-4,020833333;5,7740264
105,8958282;-4,020833333;5,067891
105,9374949;-4,020833333;4,6224265
105,9791616;-4,020833333;4,0492105
106,0208282;-4,020833333;3,0278294
106,0624949;-4,020833333;2,5056915
106,1041616;-4,020833333;2,4798267
106,1458282;-4,020833333;2,161588
106,1874949;-4,020833333;1,5756279
106,2708282;-4,020833333;0,64355874
106,3124949;-4,020833333;0,64355874
106,3541616;-4,020833333;0,63332474
106,3958282;-4,020833333;0,6333248
106,4374949;-4,020833333;0,6337432
106,4791616;-4,020833333;0,6280411
106,5208282;-4,020833333;0,612163
106,5624949;-4,020833333;0,61291075
106,6041616;-4,020833333;0,5969938
106,6458282;-4,020833333;0,62317157
106,6874949;-4,020833333;0,6197383
106,7291616;-4,020833333;0,61032766
106,7708282;-4,020833333;0,600025
106,8124949;-4,020833333;0,5981812
106,8541616;-4,020833333;0,629043
106,8958282;-4,020833333;0,6335241
105,8541616;-4,0625;4,915775
105,8958282;-4,0625;4,1603107
105,9374949;-4,0625;3,672446
105,9791616;-4,0625;3,1259978
106,0208282;-4,0625;2,36701
106,0624949;-4,0625;1,8694972
106,1041616;-4,0625;1,7869564
106,1458282;-4,0625;1,834241
106,1874949;-4,0625;1,0467861
106,2291616;-4,0625;0,6872114
106,2708282;-4,0625;0,6026851
106,3124949;-4,0625;0,6223084
106,3541616;-4,0625;0,6217296
106,3958282;-4,0625;0,6217294
106,4374949;-4,0625;0,61066663
106,4791616;-4,0625;0,61943865
106,5208282;-4,0625;0,60634404
106,5624949;-4,0625;0,58728653
106,6041616;-4,0625;0,596994
106,6458282;-4,0625;0,5669393
106,6874949;-4,0625;0,5936312
106,7291616;-4,0625;0,60306436
106,7708282;-4,0625;0,6180314
106,8124949;-4,0625;0,647667
106,8541616;-4,0625;0,6870875
106,8958282;-4,0625;0,6561139
105,8541616;-4,104166667;5,9980745
105,8958282;-4,104166667;4,617765
105,9374949;-4,104166667;3,7378573
105,9791616;-4,104166667;3,144251
106,0208282;-4,104166667;2,4519882
106,0624949;-4,104166667;1,7100915
106,1041616;-4,104166667;1,6223085
106,1458282;-4,104166667;1,6372192
106,1874949;-4,104166667;0,6872114
106,2291616;-4,104166667;0,6872114
106,2708282;-4,104166667;0,59379953
106,3124949;-4,104166667;0,6142915
106,3541616;-4,104166667;0,6695833
106,3958282;-4,104166667;0,62172896
106,4374949;-4,104166667;0,5750604
106,4791616;-4,104166667;0,56684947
106,5208282;-4,104166667;0,58122945
106,5624949;-4,104166667;0,59771615
106,6041616;-4,104166667;0,6019448
106,6458282;-4,104166667;0,729799
106,6874949;-4,104166667;0,6452798
106,7291616;-4,104166667;0,610903
106,7708282;-4,104166667;0,6172728
106,8124949;-4,104166667;0,63619214
106,8541616;-4,104166667;0,66061467
106,8958282;-4,104166667;0,69171053
105,8541616;-4,145833333;5,4019628
105,8958282;-4,145833333;4,7443132
105,9374949;-4,145833333;4,579846
105,9791616;-4,145833333;3,5748503
106,0208282;-4,145833333;2,828693
106,0624949;-4,145833333;2,069797
106,1041616;-4,145833333;1,8334796
106,1458282;-4,145833333;1,721929
106,2291616;-4,145833333;0,5898942
106,2708282;-4,145833333;0,5754408
106,3124949;-4,145833333;0,5454988
106,3541616;-4,145833333;0,5367847
106,3958282;-4,145833333;0,5984462
106,5208282;-4,145833333;0,5712426
106,5624949;-4,145833333;0,5674163
106,6041616;-4,145833333;0,56352484
106,6458282;-4,145833333;0,76115394
106,6874949;-4,145833333;0,6198624
106,7291616;-4,145833333;0,6188941
106,7708282;-4,145833333;0,6312303
106,8124949;-4,145833333;0,6332097
106,8541616;-4,145833333;0,626733
106,8958282;-4,145833333;0,60149705
105,8541616;-4,1875;5,046446
105,8958282;-4,1875;4,4215136
