Longitude;Latitude;sst
104,3124949;-4,270833333;34,11
104,3541616;-4,270833333;34,094997
104,3958282;-4,270833333;33,805
105,4374949;-4,270833333;33,535
105,4791616;-4,270833333;33,535
105,7291616;-4,270833333;31,199999
105,7708282;-4,270833333;31,199999
105,8124949;-4,270833333;32,785
105,8541616;-4,270833333;32,405
105,8958282;-4,270833333;32,29
105,9374949;-4,270833333;32,32
105,9791616;-4,270833333;32,29
106,0208282;-4,270833333;32,165
106,0624949;-4,270833333;32,265
106,1041616;-4,270833333;32,204998
106,1458282;-4,270833333;32,14
106,1874949;-4,270833333;32,149998
106,2291616;-4,270833333;32,105
106,2708282;-4,270833333;32,035
106,3124949;-4,270833333;32,024998
106,3541616;-4,270833333;31,01
106,3958282;-4,270833333;30,779999
106,4374949;-4,270833333;30,72
106,4791616;-4,270833333;30,98
106,5208282;-4,270833333;30,855
106,5624949;-4,270833333;30,72
106,6041616;-4,270833333;30,689999
106,6458282;-4,270833333;31,074999
106,6874949;-4,270833333;30,865
106,7291616;-4,270833333;30,965
106,7708282;-4,270833333;30,97
106,8124949;-4,270833333;31,314999
106,8541616;-4,270833333;31,255
106,8958282;-4,270833333;31,164999
106,9374949;-4,270833333;31,019999
104,3124949;-4,3125;34,11
104,3541616;-4,3125;34,094997
104,3958282;-4,3125;33,805
105,4374949;-4,3125;33,535
105,4791616;-4,3125;33,535
105,5208282;-4,3125;35,385
105,6458282;-4,3125;29,929998
105,6874949;-4,3125;29,929998
105,7291616;-4,3125;31,199999
105,7708282;-4,3125;31,199999
105,8124949;-4,3125;32,785
105,8541616;-4,3125;31,925
105,8958282;-4,3125;31,91
105,9374949;-4,3125;31,955
105,9791616;-4,3125;31,894999
106,0208282;-4,3125;31,804998
106,0624949;-4,3125;31,914999
106,1041616;-4,3125;32,149998
106,1458282;-4,3125;32,25
106,1874949;-4,3125;32,32
106,2291616;-4,3125;32,135
106,2708282;-4,3125;32,035
106,3124949;-4,3125;32,024998
106,3541616;-4,3125;31,599998
106,3958282;-4,3125;30,779999
106,4374949;-4,3125;30,72
106,4791616;-4,3125;30,97
106,5208282;-4,3125;31,01
106,5624949;-4,3125;30,525
106,6041616;-4,3125;30,775
106,6458282;-4,3125;31,109999
106,6874949;-4,3125;31,025
106,7291616;-4,3125;30,929998
106,7708282;-4,3125;30,89
106,8124949;-4,3125;31,029999
106,8541616;-4,3125;31,265
106,8958282;-4,3125;31,099998
106,9374949;-4,3125;31,01
104,3124949;-4,354166667;34,11
104,3541616;-4,354166667;34,094997
104,3958282;-4,354166667;33,805
105,4374949;-4,354166667;34,535
105,4791616;-4,354166667;34,684998
105,5208282;-4,354166667;35,385
105,6458282;-4,354166667;29,929998
105,6874949;-4,354166667;29,929998
105,7291616;-4,354166667;31,199999
105,7708282;-4,354166667;31,199999
105,8124949;-4,354166667;31,76
105,8541616;-4,354166667;31,765
105,8958282;-4,354166667;31,855
105,9374949;-4,354166667;31,96
105,9791616;-4,354166667;31,755
106,0208282;-4,354166667;31,789999
106,0624949;-4,354166667;31,859999
106,1041616;-4,354166667;31,965
106,1458282;-4,354166667;32,13
106,1874949;-4,354166667;32,344997
106,2291616;-4,354166667;32,175
106,2708282;-4,354166667;31,9
106,3124949;-4,354166667;31,885
106,3541616;-4,354166667;31,599998
106,3958282;-4,354166667;31,525
106,4374949;-4,354166667;31,135
106,4791616;-4,354166667;30,994999
106,5208282;-4,354166667;30,8
106,5624949;-4,354166667;31,185
106,6041616;-4,354166667;31,32
106,6458282;-4,354166667;30,939999
106,6874949;-4,354166667;31,019999
106,7291616;-4,354166667;31,119999
106,7708282;-4,354166667;31,085
106,8124949;-4,354166667;31,32
106,8541616;-4,354166667;31,429998
106,8958282;-4,354166667;31,17
106,9374949;-4,354166667;31,085
105,5208282;-4,395833333;34,015
105,5624949;-4,395833333;34,015
105,7708282;-4,395833333;33,795
105,8124949;-4,395833333;33,565
105,8541616;-4,395833333;32,23
105,8958282;-4,395833333;32,17
105,9374949;-4,395833333;32,184998
105,9791616;-4,395833333;31,814999
106,0208282;-4,395833333;31,814999
106,0624949;-4,395833333;31,925
106,1041616;-4,395833333;31,99
106,1458282;-4,395833333;32,38
106,1874949;-4,395833333;32,614998
106,2291616;-4,395833333;32,399998
106,2708282;-4,395833333;32,055
106,3124949;-4,395833333;31,88
106,3541616;-4,395833333;31,585
106,3958282;-4,395833333;30,974998
106,4374949;-4,395833333;30,974998
106,4791616;-4,395833333;30,96
106,5208282;-4,395833333;30,994999
106,5624949;-4,395833333;30,91
106,6041616;-4,395833333;31,369999
106,6458282;-4,395833333;31,195
106,6874949;-4,395833333;30,98
106,7291616;-4,395833333;31,095
106,7708282;-4,395833333;31,05
106,8124949;-4,395833333;31,144999
106,8541616;-4,395833333;30,945
106,8958282;-4,395833333;31,244999
106,9374949;-4,395833333;31,265
105,2708282;-4,4375;33,96
105,3124949;-4,4375;33,945
105,3541616;-4,4375;33,905
105,5208282;-4,4375;34,015
105,5624949;-4,4375;34,015
105,7708282;-4,4375;33,795
105,8124949;-4,4375;33,565
105,8541616;-4,4375;32,02
105,8958282;-4,4375;32,01
105,9374949;-4,4375;31,984999
105,9791616;-4,4375;31,914999
106,0208282;-4,4375;31,91
106,0624949;-4,4375;31,984999
106,1041616;-4,4375;32,02
106,1458282;-4,4375;32,405
106,1874949;-4,4375;32,67
106,2291616;-4,4375;32,395
106,2708282;-4,4375;32,015
106,3124949;-4,4375;31,785
106,3541616;-4,4375;31,585
106,3958282;-4,4375;30,845
106,4374949;-4,4375;30,865
106,4791616;-4,4375;30,96
106,5208282;-4,4375;31
106,5624949;-4,4375;31,13
106,6041616;-4,4375;31,144999
106,6458282;-4,4375;31,109999
106,6874949;-4,4375;30,91
106,7291616;-4,4375;31,244999
106,7708282;-4,4375;30,945
106,8124949;-4,4375;30,795
106,8541616;-4,4375;30,8
106,8958282;-4,4375;30,929998
106,9374949;-4,4375;30,99
105,2708282;-4,479166667;33,96
105,3124949;-4,479166667;33,945
105,3541616;-4,479166667;33,905
105,8541616;-4,479166667;32,02
105,8958282;-4,479166667;31,74
105,9374949;-4,479166667;31,824999
105,9791616;-4,479166667;31,9
106,0208282;-4,479166667;31,795
106,0624949;-4,479166667;31,83
106,1041616;-4,479166667;32,07
106,1458282;-4,479166667;32,559998
106,1874949;-4,479166667;32,755
106,2291616;-4,479166667;32,274998
106,2708282;-4,479166667;31,795
106,3124949;-4,479166667;31,824999
106,3541616;-4,479166667;31,404999
106,3958282;-4,479166667;30,859999
106,4374949;-4,479166667;30,74
106,4791616;-4,479166667;30,625
106,5208282;-4,479166667;30,605
106,5624949;-4,479166667;30,554998
106,6041616;-4,479166667;30,83
106,6458282;-4,479166667;30,8
106,6874949;-4,479166667;30,91
106,7291616;-4,479166667;30,795
106,7708282;-4,479166667;30,724998
106,8124949;-4,479166667;30,699999
106,8541616;-4,479166667;30,73
106,8958282;-4,479166667;30,755
106,9374949;-4,479166667;30,75
105,8541616;-4,520833333;32,37
105,8958282;-4,520833333;31,705
105,9374949;-4,520833333;31,81
105,9791616;-4,520833333;31,96
106,0208282;-4,520833333;31,9
106,0624949;-4,520833333;31,965
106,1041616;-4,520833333;32,329998
106,1458282;-4,520833333;32,739998
106,1874949;-4,520833333;32,76
106,2291616;-4,520833333;32,02
106,2708282;-4,520833333;31,734999
106,3124949;-4,520833333;31,755
106,3541616;-4,520833333;31,474998
106,3958282;-4,520833333;31,16
106,4374949;-4,520833333;30,72
106,4791616;-4,520833333;30,385
106,5208282;-4,520833333;30,24
106,5624949;-4,520833333;30,385
106,6041616;-4,520833333;30,41
106,6458282;-4,520833333;30,404999
106,6874949;-4,520833333;30,484999
106,7291616;-4,520833333;30,66
106,7708282;-4,520833333;30,76
106,8124949;-4,520833333;30,695
106,8541616;-4,520833333;30,644999
106,8958282;-4,520833333;30,675
106,9374949;-4,520833333;30,705
105,8541616;-4,5625;32,375
105,8958282;-4,5625;31,98
105,9374949;-4,5625;31,775
105,9791616;-4,5625;31,845
106,0208282;-4,5625;31,705
106,0624949;-4,5625;31,585
106,1041616;-4,5625;31,785
106,1458282;-4,5625;32,07
106,1874949;-4,5625;32,45
106,2291616;-4,5625;32,079998
106,2708282;-4,5625;31,49
106,3124949;-4,5625;31,275
106,3541616;-4,5625;31,14
106,3958282;-4,5625;31,025
106,4374949;-4,5625;30,72
106,4791616;-4,5625;30,34
106,5208282;-4,5625;30,385
106,5624949;-4,5625;30,67
106,6041616;-4,5625;30,65
106,6458282;-4,5625;30,73
106,6874949;-4,5625;30,715
106,7291616;-4,5625;30,59
106,7708282;-4,5625;30,484999
106,8124949;-4,5625;30,414999
106,8541616;-4,5625;30,519999
106,8958282;-4,5625;30,5
106,9374949;-4,5625;30,474998
105,8541616;-4,604166667;32,37
105,8958282;-4,604166667;32,155
105,9374949;-4,604166667;32,075
105,9791616;-4,604166667;32,04
106,0208282;-4,604166667;31,914999
106,0624949;-4,604166667;31,449999
106,1041616;-4,604166667;31,439999
106,1458282;-4,604166667;31,625
106,1874949;-4,604166667;31,724998
106,2291616;-4,604166667;31,429998
106,2708282;-4,604166667;31,31
106,3124949;-4,604166667;31,24
106,3541616;-4,604166667;31,224998
106,3958282;-4,604166667;31,119999
106,4374949;-4,604166667;30,869999
106,4791616;-4,604166667;30,605
106,5208282;-4,604166667;30,474998
106,5624949;-4,604166667;30,64
106,6041616;-4,604166667;30,58
106,6458282;-4,604166667;30,625
106,6874949;-4,604166667;30,66
106,7291616;-4,604166667;30,585
106,7708282;-4,604166667;30,47
106,8124949;-4,604166667;30,349998
106,8541616;-4,604166667;30,425
106,8958282;-4,604166667;30,49
106,9374949;-4,604166667;30,435
105,8124949;-4,645833333;32,94
105,8541616;-4,645833333;32,94
105,8958282;-4,645833333;32,26
105,9374949;-4,645833333;32,274998
105,9791616;-4,645833333;32,295
106,0208282;-4,645833333;31,789999
106,0624949;-4,645833333;31,474998
106,1041616;-4,645833333;31,429998
106,1458282;-4,645833333;31,474998
106,1874949;-4,645833333;31,49
106,2291616;-4,645833333;31,39
106,2708282;-4,645833333;31,265
106,3124949;-4,645833333;31,3
106,3541616;-4,645833333;31,269999
106,3958282;-4,645833333;31,199999
106,4374949;-4,645833333;31,074999
106,4791616;-4,645833333;30,875
106,5208282;-4,645833333;30,71
106,5624949;-4,645833333;30,599998
106,6041616;-4,645833333;30,67
106,6458282;-4,645833333;30,59
106,6874949;-4,645833333;30,42
106,7291616;-4,645833333;30,279999
106,7708282;-4,645833333;30,269999
106,8124949;-4,645833333;29,849998
106,8541616;-4,645833333;30,894999
106,8958282;-4,645833333;30,574999
106,9374949;-4,645833333;30,304998
104,8124949;-4,6875;34,21
104,8541616;-4,6875;34,21
105,8124949;-4,6875;32,94
105,8541616;-4,6875;31,75
105,8958282;-4,6875;32,204998
105,9374949;-4,6875;31,74
105,9791616;-4,6875;31,835
106,0208282;-4,6875;31,34
106,0624949;-4,6875;31,585
106,1041616;-4,6875;32,485
106,1458282;-4,6875;31,814999
106,1874949;-4,6875;31,64
106,2291616;-4,6875;31,689999
106,2708282;-4,6875;31,33
106,3124949;-4,6875;31,385
106,3541616;-4,6875;31,265
106,3958282;-4,6875;31,234999
106,4374949;-4,6875;30,974998
106,4791616;-4,6875;30,9
106,5208282;-4,6875;31,064999
106,5624949;-4,6875;30,715
106,6041616;-4,6875;30,785
106,6458282;-4,6875;31,074999
106,6874949;-4,6875;31,269999
106,7291616;-4,6875;30,949999
106,7708282;-4,6875;30,88
106,8124949;-4,6875;30,505
106,8541616;-4,6875;31,045
106,8958282;-4,6875;30,46
106,9374949;-4,6875;30,675
104,8124949;-4,729166667;34,21
104,8541616;-4,729166667;34,21
105,8541616;-4,729166667;31,605
105,8958282;-4,729166667;32,184998
105,9374949;-4,729166667;31,585
105,9791616;-4,729166667;31,744999
106,0208282;-4,729166667;32,145
106,0624949;-4,729166667;31,96
106,1041616;-4,729166667;31,8
106,1458282;-4,729166667;31,67
106,1874949;-4,729166667;31,47
106,2291616;-4,729166667;31,814999
106,2708282;-4,729166667;31,595
106,3124949;-4,729166667;31,425
106,3541616;-4,729166667;31,269999
106,3958282;-4,729166667;31,22
106,4374949;-4,729166667;31,234999
106,4791616;-4,729166667;31,41
106,5208282;-4,729166667;31,275
106,5624949;-4,729166667;30,439999
106,6041616;-4,729166667;30,599998
106,6458282;-4,729166667;31,109999
106,6874949;-4,729166667;30,994999
106,7291616;-4,729166667;30,57
106,7708282;-4,729166667;30,505
106,8124949;-4,729166667;30,505
106,8541616;-4,729166667;31,085
106,8958282;-4,729166667;31,414999
106,9374949;-4,729166667;31,135
105,8124949;-4,770833333;31,275
105,8541616;-4,770833333;31,17
105,8958282;-4,770833333;31,135
105,9374949;-4,770833333;31,019999
105,9791616;-4,770833333;31,67
106,0208282;-4,770833333;31,365
106,0624949;-4,770833333;31,189999
106,1041616;-4,770833333;31,074999
106,1458282;-4,770833333;31,26
106,1874949;-4,770833333;31,285
106,2291616;-4,770833333;32,085
106,2708282;-4,770833333;32,03
106,3124949;-4,770833333;31,705
106,3541616;-4,770833333;31,304998
106,3958282;-4,770833333;31,234999
106,4374949;-4,770833333;31,269999
106,4791616;-4,770833333;31,535
106,5208282;-4,770833333;31,33
106,5624949;-4,770833333;30,699999
106,6041616;-4,770833333;30,605
106,6458282;-4,770833333;30,865
106,6874949;-4,770833333;31,064999
106,7291616;-4,770833333;30,824999
106,7708282;-4,770833333;30,81
106,8124949;-4,770833333;30,775
106,8541616;-4,770833333;30,51
106,8958282;-4,770833333;30,849998
106,9374949;-4,770833333;30,769999
104,0208282;-4,8125;29,769999
105,8124949;-4,8125;31,72
105,8541616;-4,8125;30,914999
105,8958282;-4,8125;30,98
105,9374949;-4,8125;31,16
105,9791616;-4,8125;31,58
106,0208282;-4,8125;31,535
106,0624949;-4,8125;31,814999
106,1041616;-4,8125;31,255
106,1458282;-4,8125;31,9
106,1874949;-4,8125;31,994999
106,2291616;-4,8125;32,26
106,2708282;-4,8125;33,079998
106,3124949;-4,8125;31,984999
106,3541616;-4,8125;31,4
106,3958282;-4,8125;31,25
106,4374949;-4,8125;31,215
106,4791616;-4,8125;31,365
106,5208282;-4,8125;31,035
106,5624949;-4,8125;30,76
106,6041616;-4,8125;30,994999
106,6458282;-4,8125;31,029999
106,6874949;-4,8125;30,99
106,7291616;-4,8125;30,755
106,7708282;-4,8125;30,699999
106,8124949;-4,8125;30,66
106,8541616;-4,8125;30,535
106,8958282;-4,8125;30,63
106,9374949;-4,8125;30,72
104,0208282;-4,854166667;29,769999
105,8124949;-4,854166667;31,72
105,8541616;-4,854166667;31,349998
105,8958282;-4,854166667;31,385
105,9374949;-4,854166667;31,345
105,9791616;-4,854166667;31,179998
106,0208282;-4,854166667;31,26
106,0624949;-4,854166667;31,849998
106,1041616;-4,854166667;32,5
106,1458282;-4,854166667;32,89
106,1874949;-4,854166667;33,29
106,2291616;-4,854166667;33,44
106,2708282;-4,854166667;33,295
106,3124949;-4,854166667;32,579998
106,3541616;-4,854166667;31,755
106,3958282;-4,854166667;31,365
106,4374949;-4,854166667;31,21
106,4791616;-4,854166667;31,23
106,5208282;-4,854166667;31,105
106,5624949;-4,854166667;30,84
106,6041616;-4,854166667;30,91
106,6458282;-4,854166667;31,074999
106,6874949;-4,854166667;30,949999
106,7291616;-4,854166667;30,67
106,7708282;-4,854166667;30,914999
106,8124949;-4,854166667;31,035
106,8541616;-4,854166667;30,615
106,8958282;-4,854166667;30,439999
106,9374949;-4,854166667;30,58
104,7708282;-4,895833333;32,434998
104,8124949;-4,895833333;32,434998
105,8541616;-4,895833333;31,355
105,8958282;-4,895833333;31,46
105,9374949;-4,895833333;31,455
105,9791616;-4,895833333;31,375
106,0208282;-4,895833333;31,375
106,0624949;-4,895833333;31,619999
106,1041616;-4,895833333;31,855
106,1458282;-4,895833333;31,845
106,1874949;-4,895833333;31,96
106,2291616;-4,895833333;32,52
106,2708282;-4,895833333;32,535
106,3124949;-4,895833333;32,12
106,3541616;-4,895833333;31,83
106,3958282;-4,895833333;31,48
106,4374949;-4,895833333;31,289999
106,4791616;-4,895833333;31,085
106,5208282;-4,895833333;30,859999
106,5624949;-4,895833333;30,92
106,6041616;-4,895833333;31,05
106,6458282;-4,895833333;31,285
106,6874949;-4,895833333;31,39
106,7291616;-4,895833333;31,08
106,7708282;-4,895833333;30,974998
106,8124949;-4,895833333;30,824999
106,8541616;-4,895833333;30,685
106,8958282;-4,895833333;30,779999
106,9374949;-4,895833333;31,025
104,7708282;-4,9375;32,434998
104,8124949;-4,9375;32,434998
105,8541616;-4,9375;32,52
