Longitude;Latitude;chlor_a
105,8541616;-4,0625;4,313988
105,8958282;-4,0625;4,2740808
105,9374949;-4,0625;4,332327
105,9791616;-4,0625;3,9758966
106,0208282;-4,0625;3,3183208
106,0624949;-4,0625;2,9312563
106,1041616;-4,0625;2,6239293
106,1458282;-4,0625;2,2113466
106,1874949;-4,0625;1,4997202
106,2291616;-4,0625;1,3223122
106,2708282;-4,0625;1,2365437
106,3124949;-4,0625;1,2081071
106,3541616;-4,0625;1,2011571
106,3958282;-4,0625;1,2249268
106,4374949;-4,0625;1,3066463
106,4791616;-4,0625;1,2715214
106,5208282;-4,0625;1,2292956
106,5624949;-4,0625;1,2969768
106,6041616;-4,0625;1,4984279
106,6458282;-4,0625;1,6473582
106,6874949;-4,0625;1,6904154
106,7291616;-4,0625;1,4754721
106,7708282;-4,0625;1,3724008
105,8541616;-4,104166667;4,3139887
105,8958282;-4,104166667;4,637614
105,9374949;-4,104166667;4,5199313
105,9791616;-4,104166667;4,2447615
106,0208282;-4,104166667;3,5017507
106,0624949;-4,104166667;3,0043414
106,1041616;-4,104166667;2,7828763
106,1458282;-4,104166667;2,4837344
106,1874949;-4,104166667;1,9899627
106,2291616;-4,104166667;1,4509057
106,2708282;-4,104166667;1,2859805
106,3124949;-4,104166667;1,2414352
106,3541616;-4,104166667;1,2325859
106,3958282;-4,104166667;1,2321832
106,4374949;-4,104166667;1,4388775
106,4791616;-4,104166667;1,4472361
106,5208282;-4,104166667;1,2204541
106,5624949;-4,104166667;1,5311168
106,6041616;-4,104166667;1,7750939
106,6458282;-4,104166667;1,8756524
106,6874949;-4,104166667;1,851863
106,7291616;-4,104166667;1,7710639
106,7708282;-4,104166667;1,6104219
105,8541616;-4,145833333;4,3012853
105,8958282;-4,145833333;5,8966928
105,9374949;-4,145833333;5,8578935
105,9791616;-4,145833333;4,904611
106,0208282;-4,145833333;4,0442758
106,0624949;-4,145833333;3,390627
106,1041616;-4,145833333;2,8418124
106,1458282;-4,145833333;2,3257513
106,1874949;-4,145833333;2,0088632
106,2291616;-4,145833333;1,6078048
106,2708282;-4,145833333;1,3993546
106,3124949;-4,145833333;1,343007
106,3541616;-4,145833333;1,3184932
106,3958282;-4,145833333;1,2342783
106,4374949;-4,145833333;1,4253204
106,4791616;-4,145833333;1,3648552
106,5208282;-4,145833333;1,2963674
106,5624949;-4,145833333;1,4247562
106,6041616;-4,145833333;1,5355122
106,6458282;-4,145833333;1,6064442
106,6874949;-4,145833333;1,9322122
106,7291616;-4,145833333;1,7962954
106,7708282;-4,145833333;1,0661091
105,8541616;-4,1875;6,604656
105,8958282;-4,1875;5,7908764
105,9374949;-4,1875;5,573149
105,9791616;-4,1875;4,7179785
106,0208282;-4,1875;4,179585
106,0624949;-4,1875;3,69116
106,1041616;-4,1875;3,0112674
106,1458282;-4,1875;2,4412792
106,1874949;-4,1875;2,058369
106,2291616;-4,1875;1,8000494
106,2708282;-4,1875;1,5188221
106,3124949;-4,1875;1,4554584
106,3541616;-4,1875;1,3527606
106,3958282;-4,1875;1,2430913
106,4374949;-4,1875;1,2023704
106,4791616;-4,1875;1,3293568
106,5208282;-4,1875;1,4560546
106,5624949;-4,1875;1,575759
106,6041616;-4,1875;1,6928957
106,6458282;-4,1875;1,6283572
106,6874949;-4,1875;1,2454484
106,7291616;-4,1875;1,148516
106,7708282;-4,1875;0,99859935
105,8541616;-4,229166667;8,08214
105,8958282;-4,229166667;4,1131773
105,9374949;-4,229166667;3,3731515
105,9791616;-4,229166667;3,3914726
106,0208282;-4,229166667;3,4120793
106,0624949;-4,229166667;3,606479
106,1041616;-4,229166667;2,8313665
106,1458282;-4,229166667;2,5043962
106,1874949;-4,229166667;2,2871969
106,2291616;-4,229166667;1,9123992
106,2708282;-4,229166667;1,6111016
106,3124949;-4,229166667;1,4400456
106,3541616;-4,229166667;1,2708378
106,3958282;-4,229166667;1,1994337
106,4374949;-4,229166667;1,1506444
106,4791616;-4,229166667;1,1925164
106,5208282;-4,229166667;1,2043875
106,5624949;-4,229166667;1,1224169
106,6041616;-4,229166667;1,0992565
106,6458282;-4,229166667;1,0982462
106,6874949;-4,229166667;1,8654375
106,7291616;-4,229166667;1,214565
106,7708282;-4,229166667;0,81439304
105,9374949;-4,270833333;2,9592035
105,9791616;-4,270833333;2,767645
106,0208282;-4,270833333;2,908554
106,0624949;-4,270833333;3,7496996
106,1041616;-4,270833333;3,0198624
106,1458282;-4,270833333;2,4980292
106,1874949;-4,270833333;2,1615167
106,2291616;-4,270833333;1,984033
106,2708282;-4,270833333;1,6242297
106,3124949;-4,270833333;1,38419
106,3541616;-4,270833333;1,4276505
106,3958282;-4,270833333;1,4445523
106,4374949;-4,270833333;1,0150402
106,4791616;-4,270833333;1,0879831
106,5208282;-4,270833333;1,0900706
106,5624949;-4,270833333;0,8907378
106,6041616;-4,270833333;0,86429495
106,6458282;-4,270833333;0,99125856
106,6874949;-4,270833333;1,5276458
106,7291616;-4,270833333;1,5511029
106,7708282;-4,270833333;1,066132
105,8958282;-4,3125;5,0268416
105,9374949;-4,3125;3,4575279
105,9791616;-4,3125;3,0161698
106,0208282;-4,3125;2,8897703
106,0624949;-4,3125;3,3669915
106,1041616;-4,3125;3,4525993
106,1458282;-4,3125;2,7908835
106,1874949;-4,3125;2,121364
106,2291616;-4,3125;1,9204215
106,2708282;-4,3125;1,5564429
106,3124949;-4,3125;1,3870603
106,3541616;-4,3125;1,3759569
106,3958282;-4,3125;1,4445523
106,4374949;-4,3125;1,0150402
106,4791616;-4,3125;1,0835913
106,5208282;-4,3125;1,0854051
106,5624949;-4,3125;0,9562625
106,6041616;-4,3125;0,92080146
106,6458282;-4,3125;1,1686343
106,6874949;-4,3125;1,3175184
106,7291616;-4,3125;1,304187
106,7708282;-4,3125;0,78775966
105,8958282;-4,354166667;5,0268416
105,9374949;-4,354166667;4,790413
105,9791616;-4,354166667;3,6478372
106,0208282;-4,354166667;3,0443966
106,0624949;-4,354166667;2,9682052
106,1041616;-4,354166667;3,082481
106,1458282;-4,354166667;2,727098
106,1874949;-4,354166667;2,1615028
106,2291616;-4,354166667;1,7797797
106,2708282;-4,354166667;1,2573386
106,3124949;-4,354166667;1,272216
106,3541616;-4,354166667;1,3149065
106,4374949;-4,354166667;1,0150402
106,4791616;-4,354166667;1,0767969
106,5208282;-4,354166667;1,0219401
106,5624949;-4,354166667;0,82367784
106,6041616;-4,354166667;0,92085123
106,6458282;-4,354166667;1,1714916
106,6874949;-4,354166667;1,1903614
106,7291616;-4,354166667;1,1681787
106,7708282;-4,354166667;0,67959696
105,9374949;-4,395833333;3,4977522
105,9791616;-4,395833333;3,441289
106,0208282;-4,395833333;3,1204298
106,0624949;-4,395833333;2,8189082
106,1041616;-4,395833333;2,6256855
106,1458282;-4,395833333;2,3376071
106,1874949;-4,395833333;2,177627
106,2291616;-4,395833333;1,8371662
106,2708282;-4,395833333;1,6168895
106,3124949;-4,395833333;1,100733
106,3958282;-4,395833333;1,1983759
106,4374949;-4,395833333;1,1983771
106,4791616;-4,395833333;1,0238264
106,5208282;-4,395833333;1,031665
106,5624949;-4,395833333;1,0543962
106,6041616;-4,395833333;0,9364154
106,6458282;-4,395833333;0,87478536
106,6874949;-4,395833333;1,042056
106,7291616;-4,395833333;0,99420404
106,7708282;-4,395833333;0,921344
105,9374949;-4,4375;3,8603036
105,9791616;-4,4375;3,6473842
106,0208282;-4,4375;3,3087716
106,0624949;-4,4375;2,9044302
106,1041616;-4,4375;2,4695885
106,1458282;-4,4375;2,2168083
106,1874949;-4,4375;2,1709943
106,2291616;-4,4375;2,0434089
106,2708282;-4,4375;1,900767
106,3124949;-4,4375;2,0093794
106,3958282;-4,4375;1,0872719
106,4374949;-4,4375;1,036199
106,4791616;-4,4375;0,9475352
106,5208282;-4,4375;0,93486977
106,5624949;-4,4375;0,9412156
106,6041616;-4,4375;0,83710444
106,6458282;-4,4375;0,67369264
106,6874949;-4,4375;0,65800965
106,7291616;-4,4375;0,72207445
106,7708282;-4,4375;0,6807379
105,9374949;-4,479166667;3,860308
105,9791616;-4,479166667;3,3769884
106,0208282;-4,479166667;3,1401696
106,0624949;-4,479166667;2,7213645
106,1041616;-4,479166667;2,367573
106,1458282;-4,479166667;2,1038117
106,1874949;-4,479166667;2,0991924
106,2291616;-4,479166667;2,0695198
