Longitude;Latitude;sst
104,3958282;-4,1875;31,429998
104,4374949;-4,1875;31,414999
104,4791616;-4,1875;30,699999
104,5208282;-4,1875;30,699999
105,8124949;-4,1875;30,255
105,8541616;-4,1875;30,785
105,8958282;-4,1875;30,064999
105,9374949;-4,1875;30,185
105,9791616;-4,1875;30,16
106,0208282;-4,1875;30,015
106,0624949;-4,1875;30,154999
106,1041616;-4,1875;29,885
106,1458282;-4,1875;30,224998
106,1874949;-4,1875;30,38
106,2291616;-4,1875;30,574999
106,2708282;-4,1875;30,515
106,3124949;-4,1875;30,41
106,3541616;-4,1875;29,779999
106,3958282;-4,1875;29,779999
106,4374949;-4,1875;29,929998
106,4791616;-4,1875;29,98
106,5208282;-4,1875;29,81
106,5624949;-4,1875;29,654999
106,6041616;-4,1875;29,695
106,6458282;-4,1875;29,824999
106,6874949;-4,1875;29,835
106,7291616;-4,1875;29,82
106,7708282;-4,1875;29,82
106,8124949;-4,1875;29,914999
106,8541616;-4,1875;29,925
106,8958282;-4,1875;29,9
106,9374949;-4,1875;29,974998
106,9791616;-4,1875;30,029999
107,0208282;-4,1875;29,98
107,0624949;-4,1875;29,849998
107,1041616;-4,1875;29,795
107,1458282;-4,1875;29,74
107,1874949;-4,1875;29,63
104,3958282;-4,229166667;31,429998
104,4374949;-4,229166667;31,414999
104,4791616;-4,229166667;30,699999
104,5208282;-4,229166667;30,699999
105,8124949;-4,229166667;30,255
105,8541616;-4,229166667;30,785
105,8958282;-4,229166667;29,289999
105,9374949;-4,229166667;28,945
105,9791616;-4,229166667;28,99
106,0208282;-4,229166667;29,76
106,0624949;-4,229166667;29,654999
106,1041616;-4,229166667;29,73
106,1458282;-4,229166667;30,005
106,1874949;-4,229166667;30,285
106,2291616;-4,229166667;30,34
106,2708282;-4,229166667;30,47
106,3124949;-4,229166667;30,404999
106,3541616;-4,229166667;29,965
106,3958282;-4,229166667;29,804998
106,4374949;-4,229166667;29,894999
106,4791616;-4,229166667;29,914999
106,5208282;-4,229166667;29,755
106,5624949;-4,229166667;29,74
106,6041616;-4,229166667;29,765
106,6458282;-4,229166667;29,765
106,6874949;-4,229166667;29,835
106,7291616;-4,229166667;29,88
106,7708282;-4,229166667;29,97
106,8124949;-4,229166667;29,965
