Longitude;Latitude;chlor_a
105,8958282;-4,479166667;7,716856
105,9374949;-4,479166667;6,2621975
105,9791616;-4,479166667;5,234692
106,0208282;-4,479166667;4,6289177
106,0624949;-4,479166667;3,893023
106,1041616;-4,479166667;3,586306
106,1458282;-4,479166667;3,4499207
106,1874949;-4,479166667;3,080165
106,2291616;-4,479166667;2,7824712
106,2708282;-4,479166667;2,4903703
106,3124949;-4,479166667;2,2237291
106,3541616;-4,479166667;2,1351287
106,3958282;-4,479166667;2,1030016
106,4374949;-4,479166667;2,108494
106,4791616;-4,479166667;2,1557283
106,5208282;-4,479166667;2,3161616
106,5624949;-4,479166667;1,8954519
106,6041616;-4,479166667;1,7333133
106,6458282;-4,479166667;1,7999587
106,6874949;-4,479166667;1,8768507
106,7291616;-4,479166667;1,8640294
106,7708282;-4,479166667;1,6002378
106,8124949;-4,479166667;1,4140756
106,8541616;-4,479166667;1,4964622
105,8958282;-4,520833333;9,23698
105,9374949;-4,520833333;6,8808556
105,9791616;-4,520833333;5,5778227
106,0208282;-4,520833333;4,4509287
106,0624949;-4,520833333;3,670638
106,1041616;-4,520833333;3,5428433
106,1458282;-4,520833333;3,325903
106,1874949;-4,520833333;2,9274683
106,2291616;-4,520833333;2,7401247
106,2708282;-4,520833333;2,6392846
106,3124949;-4,520833333;2,2971594
106,3541616;-4,520833333;2,1375902
106,3958282;-4,520833333;2,0527987
106,4374949;-4,520833333;2,0466576
106,4791616;-4,520833333;2,1388845
106,5208282;-4,520833333;2,215606
106,5624949;-4,520833333;2,2506886
106,6041616;-4,520833333;2,1130283
106,6458282;-4,520833333;1,9345226
106,6874949;-4,520833333;1,8467236
106,7291616;-4,520833333;1,5857695
106,7708282;-4,520833333;1,3659806
106,8124949;-4,520833333;1,2695756
106,8541616;-4,520833333;1,2531375
105,8958282;-4,5625;9,23698
105,9374949;-4,5625;5,310114
105,9791616;-4,5625;5,1646795
106,0208282;-4,5625;4,483684
106,0624949;-4,5625;3,8855288
106,1041616;-4,5625;3,5139563
106,1458282;-4,5625;3,0672364
106,1874949;-4,5625;2,6698987
106,2291616;-4,5625;2,495076
106,2708282;-4,5625;2,3643181
106,3124949;-4,5625;2,2162647
106,3541616;-4,5625;2,066353
106,3958282;-4,5625;1,9940282
106,4374949;-4,5625;2,0317724
106,4791616;-4,5625;2,0754204
106,5208282;-4,5625;2,0201588
106,5624949;-4,5625;1,99495
106,6041616;-4,5625;1,9652115
106,6458282;-4,5625;1,8548433
106,6874949;-4,5625;1,601463
106,7291616;-4,5625;1,4159061
106,7708282;-4,5625;1,3039303
106,8124949;-4,5625;1,234203
106,8541616;-4,5625;1,1944808
105,9374949;-4,604166667;4,927952
